theme,date,img src,link
樂悠悠 Open Mic - 真4有料,2023/6/8,https://t.kfs.io/upload_images/174153/OPEN_MIC_FB_%E5%B7%A5%E4%BD%9C%E5%8D%80%E5%9F%9F_1__1__medium.jpg,https://theuumouth.kktix.cc/events/230608openmic
新竹喜劇七月盛典 - 【和選旅喜劇夜】單口喜劇 Stand Up Comedy,2023/7/8,https://t.kfs.io/upload_images/176400/%E5%92%8C%E9%81%B8%E6%97%85%E5%96%9C%E5%8A%87%E5%A4%9C__1__medium.png,https://4fcomedy.kktix.cc/events/hohotelcomedynight
【7/15】喜劇企劃：愛的無套之夜,2023/7/15,https://t.kfs.io/upload_images/175818/FB_share_1200x630_medium.png,https://comedyclub.kktix.cc/events/nocondom0715
【7/21台中】笑友會2023：笑外教學,2023/7/21,https://t.kfs.io/upload_images/171079/%E5%94%AE%E7%A5%A8%E7%B3%BB%E7%B5%B1%E5%9C%96_1200_630_pixel_medium.jpg,https://comedyclub.kktix.cc/events/trip20230721
【7/21台中】笑友會2023：笑外教學,2023/7/21,https://t.kfs.io/upload_images/171079/%E5%94%AE%E7%A5%A8%E7%B3%BB%E7%B5%B1%E5%9C%96_1200_630_pixel_medium.jpg,https://comedyclub.kktix.cc/events/trip20230721
【7/16】喜劇企劃：愛的無套之夜,2023/7/16,https://t.kfs.io/upload_images/175820/FB_share_1200x630_medium.png,https://comedyclub.kktix.cc/events/nocondom0716
【8/12台中場】瑞恩Ｘ佳諭《海浪大對決 SEXBIAN》單口喜劇專場,2023/8/12,https://t.kfs.io/upload_images/176125/%E6%A9%AB%E5%BC%8F_%E6%B5%B7%E6%B5%AA%E5%A4%A7%E5%B0%8D%E6%B1%BA_%E6%94%B90613_medium.png,https://comedyclub.kktix.cc/events/sexbian0812
【7/14】喜劇企劃：愛的無套之夜,2023/7/14,https://t.kfs.io/upload_images/175817/FB_share_1200x630_medium.png,https://comedyclub.kktix.cc/events/nocondom0714
【決賽】2023 ROAST BATTLE,2023/7/28,https://t.kfs.io/upload_images/170137/%E4%B8%8B%E8%BC%89_medium.png,https://comedyclub.kktix.cc/events/2023rb0728
【7/14臺南】尋笑堂：笑死到底,2023/7/14,https://t.kfs.io/upload_images/170129/%E7%AC%91%E6%AD%BB%E5%88%B0%E5%BA%95_FB_%E6%B2%92%E8%B4%8A%E5%8A%A9_medium.png,https://comedyclub.kktix.cc/events/laughordie0714
【D組】2023 ROAST BATTLE,2023/7/6,https://t.kfs.io/upload_images/170136/%E4%B8%8B%E8%BC%89_medium.png,https://comedyclub.kktix.cc/events/2023rb0706
【7/22台北場】瑞恩Ｘ佳諭《海浪大對決 SEXBIAN》單口喜劇專場,2023/7/22,https://t.kfs.io/upload_images/172867/%E6%B5%B7%E6%B5%AA%E5%A4%A7%E5%B0%8D%E6%B1%BA1220x500_%E5%AE%8C%E7%A8%BF_medium.png,https://comedyclub.kktix.cc/events/sexbian0722
【7/29高雄午場】瑞恩Ｘ佳諭《海浪大對決 SEXBIAN》單口喜劇專場,2023/7/29,https://t.kfs.io/upload_images/176126/%E6%A9%AB%E5%BC%8F_%E6%B5%B7%E6%B5%AA%E5%A4%A7%E5%B0%8D%E6%B1%BA_%E6%94%B90613_medium.png,https://comedyclub.kktix.cc/events/sexbian0729-1
【C組】2023 ROAST BATTLE,2023/6/29,https://t.kfs.io/upload_images/170135/%E4%B8%8B%E8%BC%89_medium.png,https://comedyclub.kktix.cc/events/2023rb0629
來福Ｘ群島：來福週末夜7月,2023/7/29,https://t.kfs.io/upload_images/175986/%E4%BE%86%E7%A6%8F%E5%91%A8%E6%9C%AB%E5%A4%9C-17-0729-01_medium.jpg,https://comedyclub.kktix.cc/events/snlaugh23-0729
即興大咖秀：陳大天,2023/7/23,https://t.kfs.io/upload_images/174206/20230723_%E9%99%B3%E5%A4%A7%E5%A4%A9_medium.png,https://comedyclub.kktix.cc/events/dcimprov2307
【7/15高雄】尋笑堂：笑死到底,2023/7/15,https://t.kfs.io/upload_images/170130/%E7%AC%91%E6%AD%BB%E5%88%B0%E5%BA%95_FB_%E6%B2%92%E8%B4%8A%E5%8A%A9_medium.png,https://comedyclub.kktix.cc/events/laughordie0715
【7/8午】95塊的即興狂想劇場第二季：多即宇宙,2023/7/8,https://t.kfs.io/upload_images/168371/95_%E7%AC%AC%E4%BA%8C%E5%AD%A3_7%E6%9C%88%E5%94%AE%E7%A5%A8__medium.png,https://comedyclub.kktix.cc/events/95s20708-1
【7/8晚】95塊的即興狂想劇場第二季：多即宇宙,2023/7/8,https://t.kfs.io/upload_images/168370/95_%E7%AC%AC%E4%BA%8C%E5%AD%A3_7%E6%9C%88%E5%94%AE%E7%A5%A8__medium.png,https://comedyclub.kktix.cc/events/95s20708-2
流量解碼（系列演出） - 淨零減碳 X 小東風演出徵選活動 ※本場次免費,2023/9/17,https://t.kfs.io/upload_images/172251/1_medium.png,https://mixingstudiotw.kktix.cc/events/2023trafficdecoding0521
【7/1新竹】壯壯毒舌脫口秀6：FAQ,2023/7/1,https://t.kfs.io/upload_images/171193/%E6%A9%AB%E5%BC%8F%E4%B8%BB%E8%A6%96%E8%A6%BA_medium.png,https://comedyclub.kktix.cc/events/faq0701
【高雄 9/24 14:00】STOMP破銅爛鐵,2023/9/24,https://t.kfs.io/upload_images/170536/STOMP-KKTIX-4KV--%E5%AE%98%E7%B6%B2-%E4%B9%9D%E5%AE%AE%E6%A0%BC-1200X630-0425_medium.jpg,https://carrier.kktix.cc/events/stomp2022-08ee1ua
【台北 9/16 14:00】STOMP破銅爛鐵,2023/9/16,https://t.kfs.io/upload_images/170530/STOMP-KKTIX-4KV--%E5%AE%98%E7%B6%B2-%E4%B9%9D%E5%AE%AE%E6%A0%BC-1200X630-0425_medium.jpg,https://carrier.kktix.cc/events/stomp2022-02
【台北 9/16 19:30】STOMP破銅爛鐵,2023/9/16,https://t.kfs.io/upload_images/170531/STOMP-KKTIX-4KV--%E5%AE%98%E7%B6%B2-%E4%B9%9D%E5%AE%AE%E6%A0%BC-1200X630-0425_medium.jpg,https://carrier.kktix.cc/events/stomp2022-03
【高雄 9/23 14:00】STOMP破銅爛鐵,2023/9/23,https://t.kfs.io/upload_images/170534/STOMP-KKTIX-4KV--%E5%AE%98%E7%B6%B2-%E4%B9%9D%E5%AE%AE%E6%A0%BC-1200X630-0425_medium.jpg,https://carrier.kktix.cc/events/stomp2022-06ee1i
【台北 9/17 14:00】STOMP破銅爛鐵,2023/9/17,https://t.kfs.io/upload_images/170532/STOMP-KKTIX-4KV--%E5%AE%98%E7%B6%B2-%E4%B9%9D%E5%AE%AE%E6%A0%BC-1200X630-0425_medium.jpg,https://carrier.kktix.cc/events/stomp2022-04
【台北 9/15 19:30】STOMP破銅爛鐵,2023/9/15,https://t.kfs.io/upload_images/170528/STOMP-KKTIX-4KV--%E5%AE%98%E7%B6%B2-%E4%B9%9D%E5%AE%AE%E6%A0%BC-1200X630-0425_medium.jpg,https://carrier.kktix.cc/events/stomp2022-01
【高雄 9/22 19:30】STOMP破銅爛鐵,2023/9/22,https://t.kfs.io/upload_images/170533/STOMP-KKTIX-4KV--%E5%AE%98%E7%B6%B2-%E4%B9%9D%E5%AE%AE%E6%A0%BC-1200X630-0425_medium.jpg,https://carrier.kktix.cc/events/stomp2022-05ee164e5
【高雄 9/23 19:30】STOMP破銅爛鐵,2023/9/23,https://t.kfs.io/upload_images/170535/STOMP-KKTIX-4KV--%E5%AE%98%E7%B6%B2-%E4%B9%9D%E5%AE%AE%E6%A0%BC-1200X630-0425_medium.jpg,https://carrier.kktix.cc/events/stomp2022-07ee1u
【下午場 非VIP區】My School President 1st Fan Meeting in Taipei,2023/7/8,https://t.kfs.io/upload_images/172844/My-School-President-Taipei_%E4%B8%8B%E5%8D%88%E5%A0%B4_%E5%8A%A0%E5%A0%B4_-1200x630_medium.jpg,https://kklivetw.kktix.cc/events/msp1stp2023-04
【晚上場 非VIP區】My School President 1st Fan Meeting in Taipei,2023/7/8,https://t.kfs.io/upload_images/171584/My-School-President-Taipei-1200x630_medium.jpg,https://kklivetw.kktix.cc/events/msp1stp2023-02
